id,neighborhood,sq_m,rooms,bathrooms,floors,sq_m_allotment,floor,neighborhood_id,price,house_type_id,is_renewal_needed,has_ac,has_fitted_wardrobes,has_lift,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,has_green_zones,has_parking,parking_included,parking_price,orientation_north,orientation_west,orientation_south,orientation_east,house_type,district_id,district
21674,Butarque,109.0,3,2,0,0.0,3,131,219775.0,1.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21673,Butarque,108.0,3,2,0,0.0,0,131,230817.0,1.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21672,Butarque,108.0,3,2,0,0.0,2,131,213722.0,1.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21671,Butarque,111.0,2,2,0,0.0,6,131,230749.0,3.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Penthouse,21,Villaverde
21670,Butarque,115.0,3,2,0,0.0,2,131,233789.0,1.0,False,False,False,True,False,True,False,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21669,Butarque,115.0,3,2,0,0.0,1,131,230789.0,1.0,False,False,False,True,False,True,False,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21668,Butarque,117.0,3,2,0,0.0,1,131,244171.0,1.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21667,Butarque,117.0,3,2,0,0.0,1,131,243468.0,1.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21666,Butarque,117.0,3,2,0,0.0,1,131,244798.0,1.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21665,Butarque,118.0,3,2,0,0.0,1,131,219235.0,1.0,False,False,False,True,False,True,False,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21664,Butarque,115.0,3,2,0,0.0,5,131,242789.0,1.0,False,False,False,True,False,True,False,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21663,San Andres,97.0,4,1,0,0.0,3,134,130000.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21662,Butarque,106.0,3,2,0,0.0,3,131,251569.0,1.0,False,False,False,True,False,True,True,False,False,True,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21661,Butarque,103.0,3,2,0,0.0,3,131,235402.0,1.0,False,False,False,True,False,True,True,False,False,True,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21660,Butarque,103.0,3,2,0,0.0,1,131,235172.0,1.0,False,False,False,True,False,True,True,False,False,True,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21659,Butarque,103.0,3,2,0,0.0,5,131,236227.0,1.0,False,False,False,True,False,True,True,False,False,True,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21658,Butarque,114.0,3,2,0,0.0,2,131,254710.0,1.0,False,False,False,True,False,True,True,False,False,True,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21657,San Andres,150.0,2,1,2,0.0,1,134,159000.0,4.0,True,False,False,False,False,False,True,False,True,False,True,True,0.0,False,False,False,False,House or Chalet,21,Villaverde
21656,Butarque,140.0,3,3,0,0.0,7,131,272500.0,2.0,False,True,True,True,False,True,True,False,True,True,False,False,0.0,False,False,True,False,Duplex,21,Villaverde
21655,Los Rosales,58.0,3,1,0,0.0,2,133,85000.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
